subject,1,2,3,4,5,6,7,8,9
1-1,0.45,0.56,3.59,2.57,3.13,7.81,8.16,5.8,4.7
1-2,0.0,0.56,0.0,0.0,1.45,6.03,1.56,6.14,1.12
1-3,0.0,1.79,0.67,0.0,0.0,2.01,1.56,0.0,4.25
1-4,0.0,0.67,0.0,1.12,1.56,14.97,7.93,7.49,19.55
2-2,0.0,0.0,0.89,1.12,0.0,2.57,3.59,3.24,6.82
2-3,0.0,0.0,1.9,1.79,1.01,7.03,2.91,5.59,11.86
3-1,0.0,1.01,0.47,0.47,0.47,0.47,0.47,0.47,0.47
3-1_,0.0,0.89,0.0,1.12,1.23,6.82,3.13,7.49,1.68
3-2,1.9,2.91,2.37,2.37,2.37,2.37,2.37,2.37,2.37
3-2_,0.45,1.9,2.23,1.79,1.0,15.42,39.66,39.6,61.74
3-3,0.0,4.36,0.45,5.81,3.01,8.6,6.14,17.32,16.09
4-1,0.0,0.89,1.79,1.34,1.79,7.49,35.6,24.92,24.47
4-2,0.0,1.23,0.0,0.45,1.56,2.79,3.36,3.12,2.57
4-3,0.0,0.67,0.0,2.57,3.58,2.46,0.78,3.68,1.45
5-1,0.0,4.58,2.9,4.14,2.79,4.24,0.89,1.12,3.47
5-2,0.0,10.27,0.0,4.26,3.46,1.67,3.8,12.28,7.83
5-3,0.0,2.79,0.0,5.47,6.26,4.8,1.79,4.58,11.65
6-1,1.01,7.03,4.14,1.23,7.71,6.14,10.75,4.35,7.05
6-2,0.0,2.79,0.0,1.12,1.79,3.91,4.69,6.7,10.96
6-3,0.0,1.9,0.0,0.89,0.0,14.06,14.64,14.4,14.99
dem1,2.9,2.46,0.78,8.04,1.9,29.35,44.69,62.72,65.29
dem10,12.4,13.07,7.48,6.82,22.32,44.25,58.26,63.35,63.24
dem11,5.25,12.61,26.59,12.95,5.81,20.76,49.22,52.79,64.99
dem12,1.12,2.12,1.34,2.01,2.91,20.31,46.31,52.34,54.25
dem13,2.79,3.91,1.45,7.39,3.02,33.93,52.07,68.08,67.67
dem14,3.46,3.91,4.69,1.01,3.13,39.17,44.69,54.58,59.17
dem15,7.6,8.26,9.51,13.06,3.46,42.41,52.18,58.37,61.37
dem16,2.79,5.13,5.59,5.69,6.26,46.76,60.36,59.6,66.97
dem17,5.47,10.49,3.46,10.61,15.08,30.69,51.96,62.5,67.45
dem18,0.0,13.84,12.07,17.88,7.93,21.32,41.9,60.6,60.85
dem2,0.0,0.78,3.59,0.78,4.81,22.88,45.25,53.91,52.97
dem3,0.89,1.01,1.56,7.6,2.12,45.7,65.25,67.6,70.28
dem4,1.0,0.0,3.46,3.46,5.69,34.75,41.9,49.39,55.64
dem5,2.35,2.9,0.45,2.01,0.45,27.34,59.08,48.88,60.18
dem6,1.01,1.45,10.39,2.01,6.03,11.72,42.71,52.24,51.79
dem7,6.7,0.89,3.97,3.97,3.97,3.97,3.97,3.97,3.97
dem7_,6.04,4.58,4.13,8.38,9.71,22.91,47.93,53.91,64.54
dem8,1.79,2.78,2.31,2.31,2.31,2.31,2.31,2.31,2.31
dem8_,9.51,13.17,0.56,14.53,9.49,32.63,61.23,60.85,55.93
dem9,0.0,0.56,1.67,1.45,1.9,31.62,63.73,60.34,67.71
